 Water flow to a stream - 1                                              
 
 Program HYDRUS2
 Date:  17. 2.    Time:  13:28:22
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = days , M = mmol 
 All fluxes (v) are positive out of the region

       Time       rAtm       rRoot      vAtm       vRoot      vKode3     vKode1     vSeep      vDrain     vBottom...
        [T]      [L/T]       [L/T]     [L/T]       [L/T]       [V/T]      [V/T]     [V/T]       [V/T]      [V/T]

         .0010   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.104E+05   .606E+02   .000E+00   .000E+00
         .0023   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.903E+04   .606E+02   .000E+00   .000E+00
         .0040   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.780E+04   .606E+02   .000E+00   .000E+00
         .0062   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.670E+04   .606E+02   .000E+00   .000E+00
         .0090   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.572E+04   .606E+02   .000E+00   .000E+00
         .0119   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.504E+04   .606E+02   .000E+00   .000E+00
         .0156   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.444E+04   .606E+02   .000E+00   .000E+00
         .0193   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.404E+04   .606E+02   .000E+00   .000E+00
         .0231   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.376E+04   .606E+02   .000E+00   .000E+00
         .0279   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.352E+04   .606E+02   .000E+00   .000E+00
         .0327   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.335E+04   .606E+02   .000E+00   .000E+00
         .0375   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.323E+04   .606E+02   .000E+00   .000E+00
         .0423   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.315E+04   .606E+02   .000E+00   .000E+00
         .0472   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.308E+04   .606E+02   .000E+00   .000E+00
         .0520   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.303E+04   .606E+02   .000E+00   .000E+00
         .0568   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.300E+04   .607E+02   .000E+00   .000E+00
         .0616   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.297E+04   .607E+02   .000E+00   .000E+00
         .0664   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.297E+04   .607E+02   .000E+00   .000E+00
         .0712   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.296E+04   .607E+02   .000E+00   .000E+00
